Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,gm 1521 2802,None,GM makes,GM keywords,4,12,33.33%,0.03,0.12,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2008 pontiac g8 alternator for sale,None,GM makes,Pontiac keywords,1,1,100.00%,0.29,0.29,6.0,0,0.00,0.00%,0,0.0,0,0,pontiac g8 parts
broad,new power steering pump for 2005 impala,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,10.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,kit de clutch para pontiac vive gt 2002,None,GM makes,Pontiac keywords,1,1,100.00%,0.30,0.30,6.0,0,0.00,0.00%,0,0.0,0,0,pontiac vibe parts
phrase,88 gmc parts,None,GM makes,GMC keywords,0,2,0.00%,0.00,0.00,4.0,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,1999 saturn sl1 parts,None,Saturn,previous keywords,0,4,0.00%,0.00,0.00,2.8,0,0.00,0.00%,0,0.0,0,0,+Saturn +parts
broad,chevy caprice parts catalog,None,GM makes,Chevy keywords,1,3,33.33%,0.13,0.13,3.7,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,2008 chevy suburban licence plate light and back up camera cover,None,GM makes,Chevy keywords,1,1,100.00%,0.27,0.27,4.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,partes usadas para trocas chevrolet en charlotte nc,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,10.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,97 chevy cavalier oem side skirts,None,GM makes,Chevy keywords,2,1,200.00%,0.06,0.12,3.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2013 silverado hd rear wheel bearing,None,GM makes,GM keywords,1,2,50.00%,0.25,0.25,3.5,2,0.12,200.00%,0,590.12,1,2,gm parts
broad,gm 15125142,None,GM makes,GM keywords,1,2,50.00%,0.06,0.06,1.5,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm catalytic converter,None,GM makes,GM keywords,0,17,0.00%,0.00,0.00,3.5,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2004 chevy silverado parts,None,GM makes,GMC keywords,1,3,33.33%,0.30,0.30,9.3,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,gm 15154261,None,GM makes,GM keywords,1,1,100.00%,0.22,0.22,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
