Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,2007 envoy dinali 5.3 l motor parts,None,GM makes,GMC keywords,1,2,50.00%,0.32,0.32,3.5,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,gmc savana 3500 6.5 diesel parts,None,GM makes,GMC keywords,1,1,100.00%,0.30,0.30,9.0,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,parts for a 2004 gmc yucon,None,GM makes,GMC keywords,1,1,100.00%,0.33,0.33,3.0,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,gm catalytic converter,None,GM makes,GM keywords,6,69,8.70%,0.18,1.11,3.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2005 malibu maxx ls ground strap harness number gm 125 81176,None,GM makes,GM keywords,1,1,100.00%,0.02,0.02,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
phrase,genuine gm parts 10253391,None,GM makes,GM keywords,1,3,33.33%,0.29,0.29,2.0,0,0.00,0.00%,0,0.0,0,0,genuine gm parts
broad,8191701 gm,None,GM makes,GM keywords,1,1,100.00%,0.01,0.01,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 12080860,None,GM makes,GM keywords,1,1,100.00%,0.02,0.02,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2009gmc acadia cargo replacement piece,None,GM makes,GMC keywords,1,1,100.00%,0.30,0.30,2.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,chevy caprice parts catalog,None,GM makes,Chevy keywords,1,2,50.00%,0.26,0.26,3.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts +catalog
broad (session-based),gm parts now,None,Saturn,previous keywords,1,1,100.00%,0.12,0.12,1.0,6,0.02,600.00%,0,356.33,1,6,saturn ion parts
broad,part number 98 gmc 1500 gauge cluster bulbs,None,GM makes,GMC keywords,2,2,100.00%,0.08,0.16,2.0,0,0.00,0.00%,0,0.0,0,0,gmc part number
broad,gmc horn parts,None,GM makes,GMC keywords,1,4,25.00%,0.30,0.30,3.3,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,cobalt parts,None,GM makes,Chevy keywords,3,11,27.27%,0.21,0.64,5.6,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,gm valve body gaskets,None,GM makes,GM keywords,1,1,100.00%,0.25,0.25,5.0,0,0.00,0.00%,0,0.0,0,0,gm parts
phrase,general motors motorsports,None,GM makes,GM keywords,1,1,100.00%,0.17,0.17,1.0,0,0.00,0.00%,0,0.0,0,0,+general +motors
broad,gm 22112178,None,GM makes,GM keywords,1,1,100.00%,0.14,0.14,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,oem c5 zo6 corvette seats,None,GM makes,Chevy keywords,1,1,100.00%,0.25,0.25,5.0,0,0.00,0.00%,0,0.0,0,0,chevrolet oem parts
broad,chevy caprice parts raider,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,7.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,2004 chevy cavalier parts,None,GM makes,Chevy keywords,1,17,5.88%,0.18,0.18,4.6,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,05 silverado oem fender flares left rear,None,GM makes,GM keywords,1,2,50.00%,0.33,0.33,3.0,0,0.00,0.00%,0,0.0,0,0,gm oem parts
broad,saturn vue performance parts,None,Saturn,previous keywords,2,8,25.00%,0.28,0.56,4.6,2,0.28,100.00%,0,428.07,1,2,+Saturn +parts
broad,94 impala battrey tray,None,GM makes,Chevy keywords,2,1,200.00%,0.15,0.30,2.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,chevy p n 157040c0rh,None,GM makes,GM keywords,1,1,100.00%,0.08,0.08,1.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,body parts for suburban,None,GM makes,Chevy keywords,2,5,40.00%,0.22,0.44,4.4,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,oil pan gasket for 2003 avalanche,None,GM makes,Chevy keywords,1,4,25.00%,0.23,0.23,2.0,0,0.00,0.00%,0,0.0,0,0,chevy avalanche parts
broad,2009 pontiac vibe speed sensor location,None,GM makes,Pontiac keywords,1,1,100.00%,0.39,0.39,1.0,0,0.00,0.00%,0,0.0,0,0,pontiac vibe parts
broad,doorhandlesfor2004pontiacvibe ebay motors,None,GM makes,Pontiac keywords,1,1,100.00%,0.31,0.31,4.0,0,0.00,0.00%,0,0.0,0,0,pontiac vibe parts
broad,saturn wheel cover cap,None,Saturn,previous keywords,2,2,100.00%,0.26,0.52,5.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,part number 21046277ad saturn,None,Saturn,previous keywords,1,1,100.00%,0.21,0.21,1.0,0,0.00,0.00%,0,0.0,0,0,"saturn ""part #"""
broad,wheel bearing hub assembly for a 1997 chevy suburban 4x4,None,GM makes,Chevy keywords,1,1,100.00%,0.39,0.39,7.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,97 saturn sc2 instrument cluster part number,None,Saturn,previous keywords,1,1,100.00%,0.26,0.26,1.0,0,0.00,0.00%,0,0.0,0,0,"saturn ""part #"""
broad,2005 gmc yukon parts,None,GM makes,GMC keywords,0,3,0.00%,0.00,0.00,3.7,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,gm 22714056,None,GM makes,GM keywords,1,1,100.00%,0.21,0.21,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,99 chevy truck parts,None,GM makes,Chevy keywords,1,2,50.00%,0.16,0.16,3.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,2008 saturn aura drivers seat parts,None,Saturn,previous keywords,1,1,100.00%,0.32,0.32,1.0,0,0.00,0.00%,0,0.0,0,0,saturn car parts
broad,1998 chevy c1500 parts,None,GM makes,Chevy keywords,1,1,100.00%,0.23,0.23,2.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,camshaft for 2005 pontiac g6,None,GM makes,Pontiac keywords,1,1,100.00%,0.25,0.25,5.0,0,0.00,0.00%,0,0.0,0,0,pontiac g8 parts
broad,2006 chevy kodiak 241e engine,None,GM makes,Chevy keywords,1,1,100.00%,0.05,0.05,3.0,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,2004 chevy silverado 2500hd speedometer stepper motor,None,GM makes,Chevy keywords,1,1,100.00%,0.28,0.28,9.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,saturn astra oem parts,None,Saturn,previous keywords,1,1,100.00%,0.29,0.29,3.0,0,0.00,0.00%,0,0.0,0,0,oem saturn parts
broad,2004 chevrolet van dash bezel,None,GM makes,Chevy keywords,1,2,50.00%,0.06,0.06,1.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2011 gmc acadia blend door actuator,None,GM makes,GMC keywords,0,1,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,gm 14089936,None,GM makes,GM keywords,0,7,0.00%,0.00,0.00,1.7,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2007 gmc acadia rear liftgate actuator,None,GM makes,GMC keywords,1,1,100.00%,0.34,0.34,2.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,gm authority com,None,GM makes,GM keywords,1,1,100.00%,0.10,0.10,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm oem parts accessories,None,GM makes,GMC keywords,1,1,100.00%,0.32,0.32,3.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,95956990 gm,None,GM makes,GM keywords,1,1,100.00%,0.08,0.08,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm part 1496168,None,GM makes,GMC keywords,1,2,50.00%,0.28,0.28,4.5,0,0.00,0.00%,0,0.0,0,0,gmc part
