# ----------------------------------------
# All Web Site Data
# Transactions
# 20150117-20150216
# ----------------------------------------

Transaction ID,Matched Search Query,Revenue,Tax,Shipping,Quantity
89922,(not set),"$3,313.42",$0.00,$0.00,8
90262,(not set),"$2,318.38",$0.00,$0.00,15
88410,(not set),"$2,199.32",$0.00,$0.00,2
88829,(not set),"$2,130.21",$0.00,$0.00,20
89952,(not set),"$1,979.99",$0.00,$0.00,1
88506,(not set),"$1,950.90",$0.00,$0.00,18
88641,(not set),"$1,486.40",$0.00,$0.00,1
89099,www parts for 2008 chevy tahoe ltz,$799.31,$0.00,$0.00,2
88853,parts for 2014 chevy silverado dealer parts,$797.29,$0.00,$0.00,3
90050,(not set),$788.20,$0.00,$0.00,2
,,"$138,241.44",$331.42,"$2,385.45","3,161"

Day Index,Revenue
1/17/15,"$2,337.47"
1/18/15,"$3,139.38"
1/19/15,"$7,128.43"
1/20/15,"$4,943.97"
1/21/15,"$5,098.18"
1/22/15,"$5,062.56"
1/23/15,"$2,395.82"
1/24/15,"$4,988.98"
1/25/15,"$3,336.57"
1/26/15,"$6,315.97"
1/27/15,"$3,932.87"
1/28/15,"$4,530.77"
1/29/15,"$4,101.23"
1/30/15,"$4,852.94"
1/31/15,"$3,369.53"
2/1/15,"$2,282.38"
2/2/15,"$5,913.23"
2/3/15,"$4,408.97"
2/4/15,"$4,150.61"
2/5/15,"$7,312.37"
2/6/15,"$2,796.68"
2/7/15,"$2,224.18"
2/8/15,"$6,414.20"
2/9/15,"$6,978.18"
2/10/15,"$5,216.60"
2/11/15,"$4,075.37"
2/12/15,"$6,667.23"
2/13/15,"$5,766.11"
2/14/15,"$2,139.68"
2/15/15,"$2,543.00"
2/16/15,"$3,817.98"
,"$138,241.44"

